fd,window,cap,val_mae_cap,val_rmse_cap,test_mae_cap,test_rmse_cap,nasa_cap,model_path
FD001,30,125,9.37882869804401,12.736577577341325,8.844925,11.71752014879855,209.03237877293122,models/fd001_rf_mss_w30_cap125.joblib
FD002,30,125,20.020254690226878,24.18405013689124,18.781136363636364,22.671294030094792,3549.323379241303,models/fd002_rf_mss_w30_cap125.joblib
FD003,30,125,7.811269675356615,11.27244885395208,8.9719,12.642654245647945,359.9355998236686,models/fd003_rf_mss_w30_cap125.joblib
FD004,30,125,19.938312098991748,25.027175322475095,21.799504219409283,27.118950298066245,14595.733409897086,models/fd004_rf_mss_w30_cap125.joblib
